States/UTs,Number of Accidents,Persons Killed,People Injured,Traffic Voilation type,Year
Telangana,119,23,140,Driving On wrong side,2019
Tripura,28,15,37,Driving On wrong side,2019
Uttarakhand,102,52,107,Driving On wrong side,2019
Uttar Pradesh,4988,2517,3606,Driving On wrong side,2019
West Bengal,114,44,158,Driving On wrong side,2019
A & N Islands,6,0,8,Driving On wrong side,2019
Chandigarh,3,1,2,Driving On wrong side,2019
D & N Haveli,0,0,0,Driving On wrong side,2019
Daman & Diu,2,1,1,Driving On wrong side,2019
Delhi,369,69,459,Driving On wrong side,2019
Lakshadweep,0,0,0,Driving On wrong side,2019
Puducherry,132,19,171,Driving On wrong side,2019
Andhra Pradesh,37,22,24,Jumping red Lights,2019
Arunachal Pradesh,0,0,0,Jumping red Lights,2019
Assam,136,29,128,Jumping red Lights,2019
Bihar,0,0,0,Jumping red Lights,2019
Chhattisgarh,22,2,18,Jumping red Lights,2019
Goa,0,0,0,Jumping red Lights,2019
Gujarat,8,4,4,Jumping red Lights,2019
Haryana,257,142,397,Jumping red Lights,2019
Himachal Pradesh,0,0,0,Jumping red Lights,2019
Jammu & Kashmir,0,0,0,Jumping red Lights,2019
Jharkhand,74,33,107,Jumping red Lights,2019
Karnataka,59,7,60,Jumping red Lights,2019
Kerala,70,5,86,Jumping red Lights,2019
Madhya Pradesh,113,12,118,Jumping red Lights,2019
Maharashtra,48,4,46,Jumping red Lights,2019
Manipur,8,0,15,Jumping red Lights,2019
Meghalaya,11,7,3,Jumping red Lights,2019
Mizoram,0,0,0,Jumping red Lights,2019
Nagaland,0,0,0,Jumping red Lights,2019
Orissa,97,32,100,Jumping red Lights,2019
Punjab,1079,846,746,Jumping red Lights,2019
Rajasthan,32,13,35,Jumping red Lights,2019
Sikkim,0,0,0,Jumping red Lights,2019
Tamil Nadu,1068,226,1054,Jumping red Lights,2019
Telangana,32,2,19,Jumping red Lights,2019
Tripura,0,0,0,Jumping red Lights,2019
Uttarakhand,0,0,0,Jumping red Lights,2019
Uttar Pradesh,874,297,680,Jumping red Lights,2019
West Bengal,18,10,15,Jumping red Lights,2019
A & N Islands,0,0,0,Jumping red Lights,2019
Chandigarh,12,4,6,Jumping red Lights,2019
D & N Haveli,0,0,0,Jumping red Lights,2019
Daman & Diu,0,0,0,Jumping red Lights,2019
Delhi,371,100,320,Jumping red Lights,2019
Lakshadweep,0,0,0,Jumping red Lights,2019
Puducherry,17,0,25,Jumping red Lights,2019
Andhra Pradesh,96,29,134,Use of Mobile Phones,2019
Arunachal Pradesh,43,23,67,Use of Mobile Phones,2019
Assam,99,40,99,Use of Mobile Phones,2019
Bihar,182,149,130,Use of Mobile Phones,2019
Chhattisgarh,24,9,10,Use of Mobile Phones,2019
Goa,0,0,0,Use of Mobile Phones,2019
Gujarat,122,40,118,Use of Mobile Phones,2019
Haryana,539,243,418,Use of Mobile Phones,2019
Himachal Pradesh,18,3,27,Use of Mobile Phones,2019
